rollout/ep_rew_mean,time/episodes,train/learning_rate,rollout/ep_len_mean,time/fps,time/time_elapsed,train/n_updates,time/total_timesteps,train/actor_loss,train/critic_loss
2.0,4,0.0001,1522.0,6,901,112,6088,-0.03225459810346365,0.005922400679992279
1.0,8,0.0001,1761.0,11,1263,912,14088,-0.0256410357542336,0.00012480505120038288
0.6666666865348816,12,0.0001,1840.6666666666667,13,1596,1712,22088,-0.022675083484500647,0.000873629697252909
0.5,16,0.0001,1880.5,15,1980,2512,30088,-0.015944207552820444,0.00011420288046792848
0.4000000059604645,20,0.0001,1904.4,16,2344,3312,38088,-0.01341680297628045,1.1062448265874991e-05
0.3333333432674408,24,0.0001,1920.3333333333333,17,2670,4112,46088,-0.011626717168837786,7.515588038131682e-06
0.2857142984867096,28,0.0001,1931.7142857142858,17,3011,4912,54088,-0.010562725830823183,8.017791060410673e-06
0.25,32,0.0001,1940.25,18,3398,5712,62088,-0.009337287279777229,1.9818992313958006e-05
0.2222222238779068,36,0.0001,1946.888888888889,18,3774,6512,70088,-0.007069981656968594,4.6578643718930834e-05
0.20000000298023224,40,0.0001,1952.2,18,4152,7312,78088,-0.005015758972149342,0.00011211028686375357
0.1818181872367859,44,0.0001,1956.5454545454545,18,4532,8112,86088,-0.004570155608234927,0.0008160545428381738
0.1666666716337204,48,0.0001,1960.1666666666667,19,4911,8912,94088,-0.0045345809194259346,8.981329460766574e-05
0.1538461595773697,52,0.0001,1963.2307692307693,19,5306,9712,102088,-0.006492394313681871,4.841790158138792e-06
0.1428571492433548,56,0.0001,1965.857142857143,19,5682,10512,110088,-0.005560524528846145,6.930437130847622e-07
0.13333334028720856,60,0.0001,1968.1333333333334,19,6063,11312,118088,-0.004998211283236742,4.2249235576719e-07
0.125,64,0.0001,1970.125,19,6439,12112,126088,-0.004282236390281469,3.6373014289381445e-07
0.11764705926179886,68,0.0001,1971.8823529411766,19,6824,12912,134088,-0.004259955487214029,1.7267745189286643e-07
0.1111111119389534,72,0.0001,1973.4444444444443,19,7206,13712,142088,-0.0037400026922114193,9.369968889672009e-08
0.10526315867900848,76,0.0001,1974.842105263158,19,7615,14512,150088,-0.003478924452792853,1.0606025302450917e-07
0.10000000149011612,80,0.0001,1976.1,19,7998,15312,158088,-0.003260026511270553,4.60735298801751e-08
0.095238097012043,84,0.0001,1977.2380952380952,19,8381,16112,166088,-0.0030612717382609844,3.668586456839762e-08
0.09090909361839294,88,0.0001,1978.2727272727273,19,8763,16912,174088,-0.0029074977501295507,3.98178854332798e-08
0.08695652335882187,92,0.0001,1979.2173913043478,19,9140,17712,182088,-0.0027524681063368917,4.354341731627187e-08
0.0833333358168602,96,0.0001,1980.0833333333333,19,9520,18512,190088,-0.002631388488225639,1.8156509518085784e-08
0.07999999821186066,100,0.0001,1980.88,20,9897,19312,198088,-0.0025485034566372633,1.5946322373672217e-08
0.0,104,0.0001,2000.0,20,10283,20112,206088,-0.002436013601254672,2.3483006650337757e-08
0.0,108,0.0001,2000.0,20,10671,20912,214088,-0.002370805013924837,4.01398143612397e-08
0.0,112,0.0001,2000.0,20,11060,21712,222088,-0.0022635195637121797,1.74095884375447e-08
0.0,116,0.0001,2000.0,20,11449,22512,230088,-0.0022136312909424305,6.023224474738242e-09
0.0,120,0.0001,2000.0,20,11831,23312,238088,-0.0021119046141393483,8.751417202024214e-09
0.0,124,0.0001,2000.0,20,12209,24112,246088,-0.002077459532301873,1.2527433923548159e-08
0.0,128,0.0001,2000.0,20,12585,24912,254088,-0.00196579159819521,1.570705365772085e-08
