rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/fps,time/iterations,time/total_timesteps,train/n_updates,train/clip_range,train/learning_rate,train/value_loss,train/explained_variance,train/entropy_loss,train/policy_gradient_loss,train/clip_fraction,train/loss,train/approx_kl
0.0,280,2000.0,7,1,2048,,,,,,,,,,
1.5,577,2000.0,7,2,4096,10,0.2,0.0003,0.004451276356849121,-8.767976760864258,-2.070791257917881,-0.049225582131475674,0.153515625,-0.10393037647008896,0.027771488
1.0,700,2000.0,8,3,6144,20,0.2,0.0003,0.014373665459424955,-0.7868905067443848,-2.0494353368878366,-0.06719521705017542,0.3439453125,-0.10033009201288223,0.044869028
1.25,1040,2000.0,7,4,8192,30,0.2,0.0003,0.003191643852551351,-6.13652229309082,-2.0284076940268276,-0.08578440296114423,0.375830078125,-0.14310798048973083,0.06752306
1.0,1163,2000.0,8,5,10240,40,0.2,0.0003,0.009365735467144986,-0.572532057762146,-1.9929403070360423,-0.08243721078179078,0.475830078125,-0.08256053924560547,0.08614569
0.8571428656578064,1491,1731.5714285714287,8,6,12288,50,0.2,0.0003,0.0013989122748171213,-1.0333456993103027,-2.0075249660760166,-0.07433211843308526,0.345068359375,-0.12532520294189453,0.073967114
0.75,1635,1765.125,8,7,14336,60,0.2,0.0003,0.005319740026607178,-0.8606042861938477,-1.8749688558280468,-0.0925670048542088,0.567626953125,-0.12251511961221695,0.13442214
0.6666666865348816,1775,1791.2222222222222,9,8,16384,70,0.2,0.0003,0.001521059296283056,-8.166755676269531,-1.8842016946524383,-0.09404936440405436,0.49140625,-0.13188986480236053,0.123745725
0.6000000238418579,1890,1812.1,9,9,18432,80,0.2,0.0003,0.0014605493437557016,-3.4049882888793945,-1.7454717103391886,-0.09119444263924378,0.542236328125,-0.12264562398195267,0.12944642
0.5454545617103577,2031,1829.1818181818182,10,10,20480,90,0.2,0.0003,0.0013168807332476717,-2.960533618927002,-1.5822936221957207,-0.0821547417785041,0.559375,-0.14480461180210114,0.13670503
0.5,2146,1843.4166666666667,10,11,22528,100,0.2,0.0003,0.000848425958702137,-5.940319538116455,-1.763924430683255,-0.10055506185453851,0.545361328125,-0.149473637342453,0.11935836
0.5,2356,1735.2142857142858,10,12,24576,110,0.2,0.0003,0.0006723819033140899,-3.8931260108947754,-1.6756825029850007,-0.09405389667663258,0.542626953125,-0.1365755796432495,0.14296937
0.6000000238418579,2643,1752.8666666666666,10,13,26624,120,0.2,0.0003,0.003721016935924126,-0.14002442359924316,-1.6635372888296842,-0.07097921395907178,0.5294921875,-0.062331996858119965,0.13590507
0.625,2853,1768.3125,10,14,28672,130,0.2,0.0003,0.006956386063757236,-0.11723983287811279,-1.7418302401900292,-0.07622320864466019,0.5556640625,-0.08898231387138367,0.11660412
0.6470588445663452,3033,1781.9411764705883,10,15,30720,140,0.2,0.0003,0.004930196608620463,-0.589828610420227,-1.6909771420061588,-0.09683182416920318,0.62392578125,-0.10780531167984009,0.17502627
0.7222222089767456,3337,1794.0555555555557,9,16,32768,150,0.2,0.0003,0.004116133982643077,-0.13540148735046387,-1.6768115349113941,-0.08541831846378045,0.622314453125,-0.10427840054035187,0.15189184
0.7894737124443054,3692,1804.8947368421052,9,17,34816,160,0.2,0.0003,0.006827965092452359,0.02411365509033203,-1.6897144917398692,-0.08392134914756752,0.614599609375,-0.09045422822237015,0.1452169
0.8999999761581421,3849,1814.65,9,18,36864,170,0.2,0.0003,0.009951326475493261,-0.08412694931030273,-1.7512113638222218,-0.0842879780480871,0.582568359375,-0.10433097928762436,0.1362872
0.8571428656578064,4100,1817.4285714285713,9,19,38912,180,0.2,0.0003,0.007829348358427524,0.06181812286376953,-1.6545164238661527,-0.07997125143592712,0.612060546875,-0.10392699390649796,0.16016164
0.8181818127632141,4267,1825.7272727272727,9,20,40960,190,0.2,0.0003,0.0015954925596815884,-1.6870808601379395,-1.7785836074501276,-0.098282337616547,0.539599609375,-0.12682421505451202,0.13817047
0.9130434989929199,4435,1833.304347826087,9,21,43008,200,0.2,0.0003,0.005612318739804323,-0.05473434925079346,-1.757239906862378,-0.06748588572372682,0.518896484375,-0.06699144095182419,0.13483554
0.875,4569,1840.25,9,22,45056,210,0.2,0.0003,0.004128486305671686,-0.7051031589508057,-1.6304024964571,-0.08671603408292868,0.557568359375,-0.10933863371610641,0.19619553
0.8399999737739563,4763,1846.64,9,23,47104,220,0.2,0.0003,0.0008725196435079852,-7.824136734008789,-1.7128109026700258,-0.09493129852635321,0.553564453125,-0.12792807817459106,0.15732628
0.9615384340286255,5103,1852.5384615384614,9,24,49152,230,0.2,0.0003,0.0025824171538261,-0.1468578577041626,-1.7088950466364623,-0.06775616012164391,0.497021484375,-0.12326565384864807,0.17558703
0.9259259104728699,5364,1858.0,9,25,51200,240,0.2,0.0003,0.011904959941239213,-0.04973864555358887,-1.6464304510504006,-0.06172274492273573,0.56806640625,-0.07187790423631668,0.14867717
