rollout/ep_rew_mean,time/fps,time/time_elapsed,time/episodes,time/total_timesteps,train/learning_rate,train/n_updates,train/actor_loss,train/critic_loss,rollout/ep_len_mean
0.0,7,914,4,6636,0.001,5635,0.053013481199741364,1.637885725358501e-05,1659.0
0.0,6,2215,8,14636,0.001,13635,0.039600919932127,4.808428002434084e-07,1829.5
0.0,5,4433,12,22636,0.001,21635,0.034515928477048874,2.8117475014965976e-09,1886.3333333333333
0.0,4,6637,16,30636,0.001,29635,0.0331544391810894,6.919619321976711e-10,1914.75
0.0,4,8856,20,38636,0.001,37635,0.02709992788732052,4.1924619331723534e-10,1931.8
0.0,4,11058,24,46636,0.001,45635,0.02234191820025444,2.6561529864466138e-08,1943.1666666666667
0.0,4,13278,28,54636,0.001,53635,0.016845284029841423,7.0782446570660795e-09,1951.2857142857142
0.0,4,15481,32,62636,0.001,61635,0.014957320876419544,1.8158102799148423e-10,1957.375
0.0,3,17688,36,70636,0.001,69635,0.012202627025544643,6.483050207783947e-10,1962.111111111111
0.0,3,19897,40,78636,0.001,77635,0.009991815313696861,6.836696486711702e-11,1965.9
0.0,3,22104,44,86636,0.001,85635,0.008147713728249073,3.4422920069943075e-10,1969.0
0.0,3,24328,48,94636,0.001,93635,0.0067050219513475895,8.860697731094547e-10,1971.5833333333333
0.0,3,26546,52,102636,0.001,101635,0.005478160921484232,3.9277131547166277e-10,1973.7692307692307
0.0,3,28754,56,110636,0.001,109635,0.004806166980415583,2.48596809804269e-09,1975.642857142857
0.0,3,30963,60,118636,0.001,117635,0.004225044511258602,6.309117117631047e-10,1977.2666666666667
0.0,3,33185,64,126636,0.001,125635,0.003752822754904628,1.6058582241740282e-10,1978.6875
0.0,3,35407,68,134636,0.001,133635,0.003417238127440214,4.148284382665679e-09,1979.9411764705883
0.0,3,37622,72,142636,0.001,141635,0.003073560306802392,3.6244536261165194e-09,1981.0555555555557
0.0,3,39840,76,150636,0.001,149635,0.002729794243350625,6.848473871334804e-11,1982.0526315789473
0.0,3,42062,80,158636,0.001,157635,0.00246574473567307,6.099246802060421e-11,1982.95
0.0,3,44278,84,166636,0.001,165635,0.002238715998828411,1.0080674489598707e-10,1983.7619047619048
0.0,3,46499,88,174636,0.001,173635,0.0019876142032444477,8.64759819307892e-10,1984.5
0.0,3,48718,92,182636,0.001,181635,0.0018756329081952572,1.848622699363034e-09,1985.1739130434783
0.0,3,50937,96,190636,0.001,189635,0.001695339917205274,1.115615516633639e-10,1985.7916666666667
0.0,3,53163,100,198636,0.001,197635,0.0016125589609146118,7.610472252395084e-10,1986.36
0.0,3,55390,104,206636,0.001,205635,0.0015595718286931515,6.798743790170647e-09,2000.0
0.0,3,57613,108,214636,0.001,213635,0.0013781384332105517,1.2244409930417532e-09,2000.0
0.0,3,59838,112,222636,0.001,221635,0.001345643773674965,1.4854487084825507e-10,2000.0
0.0,3,62048,116,230636,0.001,229635,0.0012791393091902137,9.079392349065074e-09,2000.0
0.0,3,64239,120,238636,0.001,237635,0.001225738669745624,5.385865642359988e-10,2000.0
0.0,3,66496,124,246636,0.001,245635,0.0011531321797519922,1.2001989679877312e-11,2000.0
