train/n_updates,train/actor_loss,train/critic_loss,time/episodes,time/time_elapsed,train/learning_rate,time/fps,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean
3262,0.17020000517368317,0.00012999189493712038,4,630,0.001,6,4263,0.0,1065.75
8177,0.15561972558498383,6.443943129852414e-05,8,1297,0.001,7,9178,0.0,1147.25
11929,0.15002593398094177,1.7876664060167968e-05,12,1812,0.001,7,12930,0.0,1077.5
18474,0.10174128413200378,2.2165366317494772e-05,16,4807,0.001,4,19475,0.0,1217.1875
26474,0.08285407721996307,4.279191045952757e-08,20,5832,0.001,4,27475,0.0,1373.75
34474,0.06769076734781265,2.425734058064677e-09,24,6861,0.001,5,35475,0.0,1478.125
42474,0.05540534481406212,4.362691186088341e-08,28,8061,0.001,5,43475,0.0,1552.6785714285713
50474,0.0454905703663826,2.619656491731348e-09,32,9870,0.001,5,51475,0.0,1608.59375
58474,0.03728148341178894,6.453008793982917e-09,36,10871,0.001,5,59475,0.0,1652.0833333333333
66474,0.030744260177016258,2.095711243432774e-10,40,11869,0.001,5,67475,0.0,1686.875
74474,0.025556623935699463,1.9825541208717823e-09,44,12865,0.001,5,75475,0.0,1715.340909090909
82474,0.021374672651290894,1.7502215232667595e-09,48,13858,0.001,6,83475,0.0,1739.0625
90474,0.017969395965337753,1.8759847009164332e-09,52,19679,0.001,4,91475,0.0,1759.1346153846155
98474,0.013228636234998703,2.800593784657579e-11,56,21082,0.001,4,99475,0.01785714365541935,1776.3392857142858
