time/total_timesteps,rollout/ep_len_mean,train/actor_loss,rollout/ep_rew_mean,time/time_elapsed,train/learning_rate,train/critic_loss,time/fps,train/n_updates,time/episodes
8000,2000.0,-0.04074360802769661,0.0,462,0.001,5.33043930772692e-07,17,6999,4
16000,2000.0,-0.03230094164609909,0.0,892,0.001,8.04374622465076e-12,17,14999,8
24000,2000.0,-0.02762981876730919,0.0,1319,0.001,9.539002832070764e-08,18,22999,12
32000,2000.0,-0.02378496155142784,0.0,1752,0.001,3.7920571571703476e-08,18,30999,16
40000,2000.0,-0.020309671759605408,0.0,2187,0.001,4.798889619017643e-10,18,38999,20
48000,2000.0,-0.017469551414251328,0.0,2596,0.001,1.0769383607112104e-08,18,46999,24
55683,1988.6785714285713,-0.014778204262256622,0.0,2993,0.001,1.5609233350311058e-10,18,54682,28
63463,1983.21875,-0.012135971337556839,0.0,3399,0.001,2.7654441236979466e-13,18,62462,32
71463,1985.0833333333333,-0.009947855025529861,0.0,3827,0.001,2.3231763734976596e-13,18,70462,36
79463,1986.575,-0.008432669565081596,0.0,4250,0.001,4.92075713509621e-10,18,78462,40
87463,1987.7954545454545,-0.007320690900087357,0.0,4671,0.001,5.850925077766078e-09,18,86462,44
95463,1988.8125,-0.006381623446941376,0.0,5094,0.001,8.337993406826172e-09,18,94462,48
103463,1989.673076923077,-0.005524979904294014,0.0,5520,0.001,1.822954009966793e-09,18,102462,52
111211,1985.9107142857142,-0.00476450752466917,0.0,5930,0.001,5.0806345242015993e-11,18,110210,56
119211,1986.85,-0.003899242728948593,0.0,6371,0.001,1.292857422681426e-13,18,118210,60
127211,1987.671875,-0.0033826539292931557,0.0,6813,0.001,2.7979065730932007e-09,18,126210,64
134664,1980.3529411764705,-0.002915887627750635,0.0,7211,0.001,5.915508534404257e-12,18,133663,68
142664,1981.4444444444443,-0.002430030144751072,0.0,7638,0.001,6.865858437343775e-10,18,141663,72
150664,1982.421052631579,-0.002130173146724701,0.0,8381,0.001,4.540698039789959e-09,17,149663,76
158664,1983.3,-0.0019222619011998177,0.0,8806,0.001,1.2242349356483828e-09,18,157663,80
166664,1984.095238095238,-0.0017369403503835201,0.0,9227,0.001,1.7186110312650271e-09,18,165663,84
174664,1984.8181818181818,-0.0015620477497577667,0.0,9652,0.001,2.1664035843027563e-10,18,173663,88
182123,1979.5978260869565,-0.0013664260040968657,0.0,10050,0.001,3.4128095904861766e-09,18,181122,92
189482,1973.7708333333333,-0.001200576312839985,0.0,10462,0.001,1.8787527089614287e-10,18,188481,96
196381,1963.81,-0.0009785003494471312,0.0,10836,0.001,2.8869712176415874e-10,18,195380,100
204317,1963.17,-0.0008648727089166641,0.0,11256,0.001,1.2631518053751734e-09,18,203316,104
212317,1963.17,-0.000688240397721529,0.0,11981,0.001,3.764596190336533e-09,17,211316,108
220317,1963.17,-0.0006813626969233155,0.0,12406,0.001,2.7342066388769126e-09,17,219316,112
