time/iterations,time/total_timesteps,rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,train/approx_kl,train/entropy_loss,train/clip_fraction,train/n_updates,train/clip_range,train/loss,train/explained_variance,train/learning_rate,train/policy_gradient_loss,train/value_loss
1,2048,500.0,17,114,-3547.981689453125,,,,,,,,,,
2,4096,500.0,18,222,-3329.99365234375,1.4399529,-1.510305722989142,0.752734375,10,0.2,258.6207275390625,6.681680679321289e-05,0.0003,0.18403124455944636,1784.4510306358338
3,6144,500.0,19,319,-3292.625,9.187227,-0.13433626829194747,0.948193359375,20,0.2,67.36801147460938,-0.08577179908752441,0.0003,0.29264832437038424,512.8811288833618
4,8192,500.0,19,417,-3244.6650390625,0.0,-5.6104475152154996e-08,0.0,30,0.2,153.9212646484375,0.14713090658187866,0.0003,2.0507286535575986e-08,291.68958766162393
5,10240,500.0,19,515,-3216.08349609375,0.0,-6.153725534783355e-10,0.0,40,0.2,49.3924674987793,0.01559150218963623,0.0003,-3.61127604264766e-08,154.3644858762622
6,12288,500.0,19,617,-3196.833984375,0.0,-1.4396967209433058e-11,0.0,50,0.2,34.41820526123047,0.015893876552581787,0.0003,-7.108610589057207e-09,132.04267740100622
7,14336,500.0,19,718,-3183.261474609375,0.0,-5.409649149249473e-13,0.0,60,0.2,25.299774169921875,0.011703014373779297,0.0003,-4.46016201749444e-10,88.52569160014392
8,16384,500.0,20,815,-3173.052490234375,0.0,-5.545214723378945e-14,0.0,70,0.2,30.875268936157227,0.029781460762023926,0.0003,-5.01429894939065e-08,77.23208725526929
9,18432,500.0,20,913,-3165.181884765625,0.0,-7.063547072823777e-15,0.0,80,0.2,35.23905944824219,0.04127734899520874,0.0003,5.9051671996712685e-08,80.73140427917242
10,20480,500.0,20,1011,-3158.56640625,0.0,-7.377573034086659e-16,0.0,90,0.2,3.398540735244751,0.05641287565231323,0.0003,2.7803616831079127e-08,89.77408944666385
11,22528,500.0,20,1122,-3152.20166015625,0.0,-9.696771696866275e-17,0.0,100,0.2,21.141555786132812,0.08409512042999268,0.0003,1.0185249266214668e-08,66.50577989593148
12,24576,500.0,20,1220,-3148.0498046875,0.0,-2.6451522872547834e-17,0.0,110,0.2,25.96613121032715,0.08291703462600708,0.0003,-1.3390672393143178e-08,48.55728138759732
13,26624,500.0,20,1319,-3144.6376953125,0.0,-5.318998171673211e-18,0.0,120,0.2,40.566226959228516,0.2162611484527588,0.0003,2.0306470105424524e-08,36.88574443385005
14,28672,500.0,20,1417,-3141.63330078125,0.0,-3.132022994617902e-18,0.0,130,0.2,10.056097984313965,0.2182602882385254,0.0003,-1.3200042303651572e-08,80.28110348582268
15,30720,500.0,20,1518,-3139.082275390625,0.0,-9.3093240183528e-19,0.0,140,0.2,49.11146545410156,0.26010024547576904,0.0003,-2.735396265052259e-09,63.507404015213254
16,32768,500.0,20,1616,-3136.795654296875,0.0,-7.121956745247121e-19,0.0,150,0.2,34.483314514160156,0.2593739628791809,0.0003,-1.8138962332159282e-09,60.761902290582654
17,34816,500.0,20,1714,-3134.680419921875,0.0,-5.323024270467848e-19,0.0,160,0.2,25.720232009887695,0.2838773727416992,0.0003,9.562791092321276e-09,60.539194636046886
18,36864,500.0,20,1812,-3132.907470703125,0.0,-3.973727099771087e-19,0.0,170,0.2,35.391109466552734,0.27837711572647095,0.0003,-2.3309257812798023e-08,60.488756159693004
19,38912,500.0,20,1910,-3131.17236328125,0.0,-3.487118685887213e-19,0.0,180,0.2,36.95343017578125,0.2841142416000366,0.0003,-9.854556992650033e-09,59.72800870463252
