time/episodes,time/total_timesteps,rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,train/actor_loss,train/n_updates,train/critic_loss,train/learning_rate
4,2000,500.0,17,117,-3186.5859375,,,,
8,4000,500.0,18,217,-3009.185546875,,,,
12,6000,500.0,18,322,-2842.116455078125,6.3210084438323975,96,16.583734035491943,0.0001
16,8000,500.0,18,430,-2527.319580078125,7.491948843002319,296,22.34898591041565,0.0001
20,10000,500.0,17,561,-2479.83349609375,8.549932718276978,496,23.31074619293213,0.0001
24,12000,500.0,17,673,-2083.897705078125,10.0463387966156,696,31.574329137802124,0.0001
28,14000,500.0,17,789,-1630.0889892578125,9.776987314224243,896,50.9006929397583,0.0001
32,16000,500.0,17,897,-1452.55712890625,10.60378360748291,1096,65.88720369338989,0.0001
36,18000,500.0,17,1009,-1211.1851806640625,9.97676157951355,1296,73.89072227478027,0.0001
40,20000,500.0,17,1122,-959.2628784179688,11.992691278457642,1496,68.62027311325073,0.0001
44,22000,500.0,17,1235,-872.7630615234375,12.554964303970337,1696,67.05785655975342,0.0001
48,24000,500.0,17,1343,-605.3795776367188,12.27532434463501,1896,73.71305513381958,0.0001
52,26000,500.0,17,1457,-517.504638671875,11.836293697357178,2096,80.17595195770264,0.0001
56,28000,500.0,17,1563,-414.24462890625,14.00027084350586,2296,91.83284378051758,0.0001
60,30000,500.0,17,1673,-397.6007080078125,14.720527410507202,2496,89.00159931182861,0.0001
64,32000,500.0,17,1780,-210.10211181640625,14.523506879806519,2696,86.86975002288818,0.0001
68,34000,500.0,17,1891,-139.0247802734375,14.432724475860596,2896,102.35342025756836,0.0001
72,36000,500.0,17,2003,128.59674072265625,12.224334001541138,3096,109.54712200164795,0.0001
76,38000,500.0,17,2115,229.29893493652344,13.60659384727478,3296,118.97879600524902,0.0001
80,40000,500.0,17,2222,299.47607421875,13.069024324417114,3496,124.60017013549805,0.0001
84,42000,500.0,18,2330,248.63494873046875,13.102194547653198,3696,108.03864574432373,0.0001
88,44000,500.0,18,2435,342.9996032714844,14.043624639511108,3896,103.46167945861816,0.0001
92,46000,500.0,18,2543,470.734130859375,12.958680391311646,4096,116.10290431976318,0.0001
96,48000,500.0,18,2655,404.1084899902344,13.117953538894653,4296,123.80246353149414,0.0001
100,50000,500.0,18,2761,423.93206787109375,11.241494417190552,4496,138.27886772155762,0.0001
104,52000,500.0,18,2869,631.9791259765625,9.437604427337646,4696,136.68004417419434,0.0001
108,54000,500.0,18,2975,842.1613159179688,9.534926652908325,4896,183.02368545532227,0.0001
112,56000,500.0,18,3092,1035.89404296875,12.027092695236206,5096,155.64138984680176,0.0001
116,58000,500.0,18,3199,1152.4951171875,11.49891448020935,5296,164.6982078552246,0.0001
120,60000,500.0,18,3306,1269.891357421875,9.87297797203064,5496,174.4120388031006,0.0001
124,62000,500.0,18,3415,1426.0172119140625,8.891610741615295,5696,204.70155334472656,0.0001
128,64000,500.0,18,3522,1450.1673583984375,9.160061836242676,5896,196.25114059448242,0.0001
132,66000,500.0,18,3633,1561.212646484375,7.543917417526245,6096,223.3888931274414,0.0001
136,68000,500.0,18,3745,1671.260498046875,5.536112546920776,6296,228.70988082885742,0.0001
140,70000,500.0,18,3852,1674.268798828125,5.0616719126701355,6496,241.6183624267578,0.0001
144,72000,500.0,18,3959,1691.731689453125,-2.496995270252228,6696,221.5964126586914,0.0001
148,74000,500.0,18,4065,1574.067626953125,-12.166562795639038,6896,212.7015781402588,0.0001
152,76000,500.0,18,4175,1534.1651611328125,-19.744531631469727,7096,263.72123527526855,0.0001
156,78000,500.0,18,4282,1479.01123046875,-20.834976196289062,7296,242.2788906097412,0.0001
160,80000,500.0,18,4390,1527.193603515625,-22.485325574874878,7496,312.1239814758301,0.0001
164,82000,500.0,18,4497,1422.572509765625,-22.241769313812256,7696,258.9184761047363,0.0001
168,84000,500.0,18,4610,1309.789794921875,-27.55746603012085,7896,214.4759063720703,0.0001
172,86000,500.0,18,4730,1167.8043212890625,-24.935041427612305,8096,189.5563564300537,0.0001
176,88000,500.0,18,4838,1064.83544921875,-27.966870307922363,8296,223.2039737701416,0.0001
180,90000,500.0,18,4946,1018.1992797851562,-26.637532234191895,8496,205.32176780700684,0.0001
184,92000,500.0,18,5055,1035.171142578125,-28.487918853759766,8696,204.66804122924805,0.0001
188,94000,500.0,18,5166,895.119873046875,-26.938059329986572,8896,190.74879264831543,0.0001
192,96000,500.0,18,5273,691.0086059570312,-26.4217791557312,9096,183.84407806396484,0.0001
196,98000,500.0,18,5380,787.9402465820312,-24.386041164398193,9296,163.09821224212646,0.0001
200,100000,500.0,18,5488,758.6986083984375,-22.844611644744873,9496,167.7990264892578,0.0001
