train/entropy_loss,train/n_updates,train/learning_rate,train/explained_variance,train/policy_loss,train/value_loss,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,time/fps,time/iterations
-1.0704972989679719e-37,99,0.0007,0.0,-0.0,0.5967460870742798,-3242.51513671875,45,500.0,500,11,100
-5.840871635472632e-33,199,0.0007,0.0,-0.0,0.853208065032959,-2996.257568359375,69,500.0,1000,14,200
-7.6744210867874665e-28,299,0.0007,0.0,-0.0,4.870259761810303,-2914.171875,92,500.0,1500,16,300
-4.815044537352371e-30,399,0.0007,0.0,-0.0,0.90174800157547,-2873.12890625,116,500.0,2000,17,400
-2.1705322161803512e-31,499,0.0007,1.1920928955078125e-07,-0.0,0.052744973450899124,-2848.503173828125,140,500.0,2500,17,500
-1.4314466377071262e-32,599,0.0007,0.0,-0.0,0.16148245334625244,-2832.0859375,163,500.0,3000,18,600
-1.1312676615695452e-33,699,0.0007,0.0,-0.0,0.9827375411987305,-2820.359375,187,500.0,3500,18,700
-1.1431997098321087e-34,799,0.0007,-1.1920928955078125e-07,-0.0,2.3281426429748535,-2811.564453125,211,500.0,4000,18,800
-1.3607374520381245e-35,899,0.0007,0.0,-0.0,5.909743309020996,-2804.723876953125,234,500.0,4500,19,900
-1.8189836564285203e-28,999,0.0007,0.0,-0.0,4.570502281188965,-2799.25146484375,258,500.0,5000,19,1000
-3.493111200428939e-29,1099,0.0007,0.2520156502723694,-0.0,1.8946311473846436,-2794.774169921875,282,500.0,5500,19,1100
-7.402335063060261e-30,1199,0.0007,0.0,-0.0,1.7045764923095703,-2791.04296875,306,500.0,6000,19,1200
-1.7397154644147182e-30,1299,0.0007,0.0,-0.0,0.7808005809783936,-2787.8857421875,329,500.0,6500,19,1300
-4.188508775510986e-31,1399,0.0007,0.0,-0.0,0.247425839304924,-2785.1796875,353,500.0,7000,19,1400
-1.0459320687712655e-31,1499,0.0007,5.960464477539063e-08,-0.0,0.015328457579016685,-2782.83447265625,377,500.0,7500,19,1500
-2.565032998617867e-32,1599,0.0007,5.960464477539063e-08,-0.0,0.42404335737228394,-2780.7822265625,400,500.0,8000,19,1600
-7.233760809510039e-33,1699,0.0007,0.0,-0.0,1.0164122581481934,-2778.971435546875,424,500.0,8500,20,1700
-2.1435413157022964e-33,1799,0.0007,0.0,-0.0,1.8638975620269775,-2777.362060546875,448,500.0,9000,20,1800
-6.53708066444369e-34,1899,0.0007,0.0,-0.0,1.7326921224594116,-2775.921875,471,500.0,9500,20,1900
-2.010933797986034e-34,1999,0.0007,0.0,-0.0,4.1770501136779785,-2774.625732421875,495,500.0,10000,20,2000
-6.748894759351659e-35,2099,0.0007,0.0,-0.0,3.831148862838745,-2773.453125,519,500.0,10500,20,2100
-1.1876850058877726e-28,2199,0.0007,0.0,-0.0,2.1081149578094482,-2772.386962890625,543,500.0,11000,20,2200
-4.837721158741316e-29,2299,0.0007,0.0,-0.0,2.2519004344940186,-2771.413818359375,567,500.0,11500,20,2300
-2.0158040670951738e-29,2399,0.0007,0.0,-0.0,0.8697864413261414,-2770.521484375,591,500.0,12000,20,2400
-8.368313814690291e-30,2499,0.0007,5.960464477539063e-08,-0.0,0.9711688160896301,-2769.70068359375,614,500.0,12500,20,2500
-3.485920033804168e-30,2599,0.0007,0.0,-0.0,0.53779137134552,-2768.94287109375,641,500.0,13000,20,2600
-1.3872505362867602e-30,2699,0.0007,-1.1920928955078125e-07,-0.0,0.23523679375648499,-2768.2412109375,665,500.0,13500,20,2700
-6.1279517327575345e-31,2799,0.0007,0.0,-0.0,0.06052365154027939,-2767.58984375,689,500.0,14000,20,2800
-2.7186003446806185e-31,2899,0.0007,3.635883331298828e-06,-0.0,0.00022561996593140066,-2766.9833984375,713,500.0,14500,20,2900
-1.3363506434809005e-31,2999,0.0007,0.0,-0.0,0.04420388117432594,-2766.417236328125,737,500.0,15000,20,3000
-6.996017517866613e-32,3099,0.0007,0.0,-0.0,0.17220306396484375,-2765.8876953125,760,500.0,15500,20,3100
-4.004976844176706e-32,3199,0.0007,-1.21620774269104,-0.0,0.6156620979309082,-2765.39111328125,784,500.0,16000,20,3200
-2.179259850312184e-32,3299,0.0007,0.0,-0.0,1.3458632230758667,-2764.9248046875,808,500.0,16500,20,3300
-1.1551531557652771e-32,3399,0.0007,0.0,-0.0,1.0185078382492065,-2764.48583984375,836,500.0,17000,20,3400
-5.546961680910581e-33,3499,0.0007,0.0,-0.0,1.471305012702942,-2764.07177734375,859,500.0,17500,20,3500
-2.672900401011151e-33,3599,0.0007,0.0,-0.0,2.018157958984375,-2763.680908203125,883,500.0,18000,20,3600
-1.2867198099680847e-33,3699,0.0007,0.0,-0.0,2.667894124984741,-2763.311279296875,907,500.0,18500,20,3700
-7.20354693127406e-34,3799,0.0007,0.0,-0.0,3.3095924854278564,-2762.9609375,931,500.0,19000,20,3800
-1.578228691129262e-28,3899,0.0007,0.0,-0.0,2.1796438694000244,-2762.628662109375,954,500.0,19500,20,3900
-8.789858803042062e-29,3999,0.0007,0.0,-0.0,1.6791646480560303,-2762.31298828125,978,500.0,20000,20,4000
-5.400414693914966e-29,4099,0.0007,0.0,-0.0,1.3149983882904053,-2762.0126953125,1002,500.0,20500,20,4100
-3.176423618362608e-29,4199,0.0007,0.0,-0.0,0.9649112820625305,-2761.7265625,1026,500.0,21000,20,4200
-1.9423949903157008e-29,4299,0.0007,0.0,-0.0,0.6969503164291382,-2761.453857421875,1049,500.0,21500,20,4300
-1.218089075113034e-29,4399,0.0007,0.0,-0.0,0.4712817072868347,-2761.193603515625,1073,500.0,22000,20,4400
-7.426877880472662e-30,4499,0.0007,-1.1920928955078125e-07,-0.0,0.28112244606018066,-2760.94482421875,1097,500.0,22500,20,4500
-4.7501809471530936e-30,4599,0.0007,0.0,-0.0,0.1519482433795929,-2760.706787109375,1125,500.0,23000,20,4600
-3.179767138070358e-30,4699,0.0007,0.0,-0.0,0.06550446152687073,-2760.47900390625,1149,500.0,23500,20,4700
-2.1905677650737326e-30,4799,0.0007,7.152557373046875e-07,-0.0,0.01611384190618992,-2760.2607421875,1172,500.0,24000,20,4800
-3.642448109243279e-29,4899,0.0007,0.0,-0.0,0.7384351491928101,-2760.05126953125,1196,500.0,24500,20,4900
-2.6257731638724544e-29,4999,0.0007,5.960464477539063e-08,-0.0,0.5357798337936401,-2759.850341796875,1220,500.0,25000,20,5000
-1.650606221774928e-29,5099,0.0007,0.0,-0.0,0.3394261300563812,-2759.6572265625,1244,500.0,25500,20,5100
-1.1504235577712267e-29,5199,0.0007,0.0,-0.0,0.19733457267284393,-2759.471435546875,1268,500.0,26000,20,5200
-7.767218289668498e-30,5299,0.0007,0.0,-0.0,0.09631635248661041,-2759.292724609375,1291,500.0,26500,20,5300
-8.977125096551786e-30,5399,0.0007,0.0,-0.0,0.0830840915441513,-2759.12060546875,1315,500.0,27000,20,5400
-6.850142359981829e-30,5499,0.0007,0.05878371000289917,-0.0,0.04948045685887337,-2758.954833984375,1343,500.0,27500,20,5500
-5.902556991637081e-30,5599,0.0007,1.7881393432617188e-07,-0.0,0.025549929589033127,-2758.794921875,1366,500.0,28000,20,5600
-4.869131947659695e-30,5699,0.0007,2.384185791015625e-07,-0.0,0.004223980009555817,-2758.640625,1390,500.0,28500,20,5700
-4.757762791676349e-30,5799,0.0007,1.1920928955078125e-07,-0.0,0.02235214039683342,-2758.49169921875,1414,500.0,29000,20,5800
-3.957066068935778e-30,5899,0.0007,0.0,-0.0,0.06706803292036057,-2758.34765625,1437,500.0,29500,20,5900
-3.672169872646758e-30,5999,0.0007,0.0,-0.0,0.12043730914592743,-2758.20849609375,1461,500.0,30000,20,6000
-2.929711465865134e-30,6099,0.0007,1.1920928955078125e-07,-0.0,0.20669038593769073,-2758.073974609375,1485,500.0,30500,20,6100
-2.746241247984272e-30,6199,0.0007,5.960464477539063e-08,-0.0,0.273844450712204,-2757.94384765625,1509,500.0,31000,20,6200
-2.4708475599482033e-30,6299,0.0007,0.0,-0.0,0.35872653126716614,-2757.817626953125,1532,500.0,31500,20,6300
-2.3599700427221457e-30,6399,0.0007,0.0,-0.0,0.4443143904209137,-2757.695556640625,1556,500.0,32000,20,6400
-2.0412295773215388e-30,6499,0.0007,0.0,-0.0,0.5770874619483948,-2757.5771484375,1580,500.0,32500,20,6500
-2.0239962659011957e-30,6599,0.0007,-1.1920928955078125e-07,-0.0,0.6868286728858948,-2757.46240234375,1603,500.0,33000,20,6600
-6.382020862410929e-29,6699,0.0007,0.0,-0.0,0.0015556253492832184,-2757.35107421875,1627,500.0,33500,20,6700
-5.156285017870655e-29,6799,0.0007,2.9206275939941406e-06,-0.0,0.004459696356207132,-2757.242919921875,1651,500.0,34000,20,6800
-4.9928006489820217e-29,6899,0.0007,1.1920928955078125e-07,-0.0,0.07448246330022812,-2757.137939453125,1675,500.0,34500,20,6900
-5.497144525371815e-29,6999,0.0007,0.0,-0.0,0.01612323522567749,-2757.035888671875,1699,500.0,35000,20,7000
-2.551357939160316e-29,7099,0.0007,0.0,-0.0,0.23539023101329803,-2756.936767578125,1722,500.0,35500,20,7100
-2.714631358534728e-29,7199,0.0007,0.0,-0.0,0.3752114772796631,-2756.840576171875,1746,500.0,36000,20,7200
-3.1924482582795713e-29,7299,0.0007,0.0,-0.0,0.43629390001296997,-2756.746826171875,1770,500.0,36500,20,7300
-4.0911807584888906e-29,7399,0.0007,0.0,-0.0,0.46439361572265625,-2756.655517578125,1794,500.0,37000,20,7400
-4.2557075369599236e-29,7499,0.0007,0.0,-0.0,0.5058736205101013,-2756.56689453125,1818,500.0,37500,20,7500
-5.577836777069887e-29,7599,0.0007,-1.1920928955078125e-07,-0.0,0.569279670715332,-2756.48046875,1843,500.0,38000,20,7600
-6.591437456766983e-29,7699,0.0007,0.0,-0.0,0.6471904516220093,-2756.396240234375,1869,500.0,38500,20,7700
-9.474417962859245e-29,7799,0.0007,-0.5258924961090088,-0.0,0.6555284857749939,-2756.314208984375,1894,500.0,39000,20,7800
-1.362569194858477e-28,7899,0.0007,0.0,-0.0,0.6760913133621216,-2756.234375,1918,500.0,39500,20,7900
-2.0702090602410612e-28,7999,0.0007,0.0,-0.0,0.6769992709159851,-2756.156494140625,1943,500.0,40000,20,8000
-2.5940636903030907e-28,8099,0.0007,0.0,-0.0,0.7296435236930847,-2756.080322265625,1967,500.0,40500,20,8100
-3.1545899524361976e-28,8199,0.0007,-0.3969835042953491,-0.0,0.7872940897941589,-2756.00634765625,1991,500.0,41000,20,8200
-4.196030310591276e-28,8299,0.0007,-0.3592042922973633,-0.0,0.8576505780220032,-2755.933837890625,2016,500.0,41500,20,8300
-5.814123464527545e-28,8399,0.0007,-0.017776966094970703,-0.0,0.8280928730964661,-2755.86328125,2040,500.0,42000,20,8400
-5.951174565300085e-28,8499,0.0007,0.0,-0.0,1.4717496633529663,-2755.794189453125,2065,500.0,42500,20,8500
-7.90513979040528e-28,8599,0.0007,-1.1920928955078125e-07,-0.0,1.0200834274291992,-2755.726806640625,2089,500.0,43000,20,8600
-9.838328083270425e-28,8699,0.0007,-0.3059300184249878,-0.0,0.9543188810348511,-2755.6611328125,2113,500.0,43500,20,8700
-1.0454664184073228e-27,8799,0.0007,-0.1272519826889038,-0.0,1.067049264907837,-2755.5966796875,2138,500.0,44000,20,8800
-9.790509168681234e-28,8899,0.0007,0.0,-0.0,1.774509072303772,-2755.533935546875,2162,500.0,44500,20,8900
-1.3709664901572485e-27,8999,0.0007,0.0,-0.0,1.5540812015533447,-2755.472412109375,2187,500.0,45000,20,9000
-1.8533782374522243e-27,9099,0.0007,0.0,-0.0,1.0671250820159912,-2755.412353515625,2211,500.0,45500,20,9100
-2.1001010337219066e-27,9199,0.0007,-0.28436291217803955,-0.0,1.0596656799316406,-2755.353515625,2235,500.0,46000,20,9200
-2.260073782320566e-27,9299,0.0007,0.13946443796157837,-0.0,1.0883017778396606,-2755.2958984375,2260,500.0,46500,20,9300
-3.4495392863678e-27,9399,0.0007,-0.340076208114624,-0.0,1.012392282485962,-2755.239501953125,2284,500.0,47000,20,9400
-4.7921982656094506e-27,9499,0.0007,-0.341442346572876,-0.0,0.8749200701713562,-2755.184326171875,2309,500.0,47500,20,9500
-6.857588649129655e-27,9599,0.0007,0.0,-0.0,0.8539562225341797,-2755.130126953125,2333,500.0,48000,20,9600
-8.871164583798043e-27,9699,0.0007,-1.1920928955078125e-07,-0.0,0.7960165739059448,-2755.077392578125,2357,500.0,48500,20,9700
-6.240356990902712e-27,9799,0.0007,-0.10327494144439697,-0.0,1.0830531120300293,-2755.025390625,2386,500.0,49000,20,9800
-7.880241271787744e-27,9899,0.0007,0.0,-0.0,1.2018945217132568,-2754.974853515625,2410,500.0,49500,20,9900
-1.1761611799914073e-26,9999,0.0007,-1.1920928955078125e-07,-0.0,1.084334373474121,-2754.925048828125,2435,500.0,50000,20,10000
