rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,time/fps,time/iterations,train/n_updates,train/loss,train/approx_kl,train/value_loss,train/entropy_loss,train/clip_fraction,train/learning_rate,train/explained_variance,train/clip_range,train/policy_gradient_loss
-2962.013427734375,115,500.0,2048,17,1,,,,,,,,,,
-2889.19775390625,213,500.0,4096,19,2,10,179.16844177246094,0.90706116,972.2969609260559,-1.4583300290629269,0.80478515625,0.0003,0.00024175643920898438,0.2,0.22953376870718784
-2846.04296875,319,500.0,6144,19,3,20,184.88912963867188,11.953139,567.5960572719574,-0.7612421859749248,0.845947265625,0.0003,0.1733947992324829,0.2,0.3200948422309011
-2822.0322265625,418,500.0,8192,19,4,30,45.89725112915039,0.0,209.30138025283813,-1.1932893474009277e-06,0.0,0.0003,-0.20428049564361572,0.2,9.241390216629952e-07
-2807.625732421875,521,500.0,10240,19,5,40,48.05099868774414,0.0,114.43021972626448,-1.3181071057549731e-08,0.0,0.0003,-0.07069289684295654,0.2,2.37407220993191e-08
-2798.021728515625,623,500.0,12288,19,6,50,151.26272583007812,0.0,101.61631725728512,-8.811027088495571e-10,0.0,0.0003,-0.009523153305053711,0.2,3.7303834687918425e-08
-2791.16162109375,725,500.0,14336,19,7,60,19.726999282836914,0.0,92.88729466795921,-1.687133075931567e-10,0.0,0.0003,0.02537637948989868,0.2,-6.687587301712483e-08
-2786.016357421875,826,500.0,16384,19,8,70,4.600288391113281,0.0,86.0619057893753,-2.6043559903733736e-11,0.0,0.0003,0.04831576347351074,0.2,-2.2093445295467973e-08
-2782.0146484375,927,500.0,18432,19,9,80,2.438326120376587,0.0,78.93769176155328,-4.869449670248042e-12,0.0,0.0003,-0.15238475799560547,0.2,-2.128654159605503e-08
-2778.81298828125,1027,500.0,20480,19,10,90,175.2113800048828,0.0,60.360855132341385,-1.5509909831371677e-12,0.0,0.0003,0.18294882774353027,0.2,2.3312895791605114e-08
-2775.611572265625,1142,500.0,22528,19,11,100,180.70697021484375,0.0,52.39764327853918,-1.488650834280041e-13,0.0,0.0003,0.14186125993728638,0.2,-6.3031620811671015e-09
-2773.52099609375,1243,500.0,24576,19,12,110,43.0267219543457,0.0,85.8137094244361,-1.2345251779267565e-13,0.0,0.0003,0.28598350286483765,0.2,-3.437853592913598e-08
-2771.745849609375,1343,500.0,26624,19,13,120,18.313684463500977,0.0,56.70330057367683,-1.0185703980617498e-13,0.0,0.0003,-0.7701879739761353,0.2,2.7719943318516017e-08
-2770.2197265625,1447,500.0,28672,19,14,130,18.603790283203125,0.0,135.94577767327428,-5.222976073563209e-14,0.0,0.0003,0.25962233543395996,0.2,-6.5640051616355775e-09
-2768.89404296875,1549,500.0,30720,19,15,140,96.7908706665039,0.0,77.84484648257494,-2.085003035706111e-14,0.0,0.0003,0.28460198640823364,0.2,2.0906372810713946e-08
-2767.731201171875,1648,500.0,32768,19,16,150,9.288124084472656,0.0,59.50809465795756,-1.6419017385804045e-14,0.0,0.0003,0.28115010261535645,0.2,5.661422619596124e-09
-2766.703369140625,1747,500.0,34816,19,17,160,3.3367960453033447,0.0,48.60933748409152,-1.2348709307539508e-14,0.0,0.0003,0.32229751348495483,0.2,2.794222382362932e-08
-2765.7880859375,1850,500.0,36864,19,18,170,11.619611740112305,0.0,56.62274795025587,-7.368832812289288e-15,0.0,0.0003,0.32059961557388306,0.2,4.845060175284743e-09
-2764.968017578125,1953,500.0,38912,19,19,180,8.911138534545898,0.0,37.08253584466875,-5.1215877093052e-15,0.0,0.0003,0.2637542486190796,0.2,-5.125912139192224e-10
-2764.228759765625,2052,500.0,40960,19,20,190,2.9161291122436523,0.0,33.91828407645225,-4.508000770582641e-15,0.0,0.0003,0.32879120111465454,0.2,2.7003989089280368e-08
-2763.401611328125,2167,500.0,43008,19,21,200,13.168429374694824,0.0,58.997065871581434,-4.1763930723304926e-15,0.0,0.0003,0.38511860370635986,0.2,-4.745379555970431e-09
-2762.805908203125,2272,500.0,45056,19,22,210,1.1671465635299683,0.0,59.69360726624727,-4.259146032666711e-15,0.0,0.0003,0.2017841935157776,0.2,-5.739275366067886e-09
-2762.260986328125,2371,500.0,47104,19,23,220,48.662620544433594,0.0,56.272605968639255,-2.0676626403734322e-15,0.0,0.0003,0.1549241542816162,0.2,3.786408342421055e-09
-2761.760498046875,2470,500.0,49152,19,24,230,3.433908224105835,0.0,55.76954210177064,-2.563206813125875e-15,0.0,0.0003,-0.08962488174438477,0.2,-3.5561242839321494e-09
-2760.027587890625,2569,500.0,51200,19,25,240,27.744586944580078,0.0,66.87502389848233,-2.1853592934611767e-15,0.0,0.0003,0.30161166191101074,0.2,7.946073310449719e-09
