rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,time/episodes,time/fps,train/n_updates,train/learning_rate,train/critic_loss,train/actor_loss
-2870.94091796875,117,500.0,2000,4,17,,,,
-2594.43408203125,212,500.0,4000,8,18,,,,
-2601.74609375,314,500.0,6000,12,19,96,0.0001,22.262054681777954,5.599825739860535
-2679.87744140625,428,500.0,8000,16,18,296,0.0001,17.657451152801514,7.478664755821228
-2687.0322265625,543,500.0,10000,20,18,496,0.0001,16.103915333747864,9.1970796585083
-2411.6142578125,653,500.0,12000,24,18,696,0.0001,19.835210919380188,10.79185962677002
-1755.1405029296875,768,500.0,14000,28,18,896,0.0001,48.3945050239563,10.276123523712158
-1300.3675537109375,878,500.0,16000,32,18,1096,0.0001,52.424503803253174,10.072129249572754
-890.861083984375,990,500.0,18000,36,18,1296,0.0001,56.8051438331604,9.685298681259155
-870.3402099609375,1102,500.0,20000,40,18,1496,0.0001,53.552950859069824,10.785194873809814
-867.7562255859375,1210,500.0,22000,44,18,1696,0.0001,47.93859052658081,12.33916187286377
-798.4537963867188,1318,500.0,24000,48,18,1896,0.0001,41.812108278274536,12.689157724380493
-752.203125,1426,500.0,26000,52,18,2096,0.0001,52.94728755950928,14.844822645187378
-619.2907104492188,1534,500.0,28000,56,18,2296,0.0001,57.88648796081543,13.413072109222412
-370.7940979003906,1650,500.0,30000,60,18,2496,0.0001,74.68591356277466,12.32869839668274
-361.59307861328125,1760,500.0,32000,64,18,2696,0.0001,77.2883620262146,12.649717330932617
-204.45697021484375,1873,500.0,34000,68,18,2896,0.0001,80.22252559661865,14.307119369506836
-162.5384979248047,1982,500.0,36000,72,18,3096,0.0001,70.17189979553223,13.287214994430542
-171.72268676757812,2092,500.0,38000,76,18,3296,0.0001,96.51076030731201,14.575867652893066
-2.297229051589966,2202,500.0,40000,80,18,3496,0.0001,115.03899669647217,11.840337753295898
57.33948516845703,2317,500.0,42000,84,18,3696,0.0001,93.61711692810059,14.694207429885864
77.06389617919922,2433,500.0,44000,88,18,3896,0.0001,109.85391902923584,15.193028926849365
111.58572387695312,2541,500.0,46000,92,18,4096,0.0001,132.92619609832764,14.815500259399414
186.4886016845703,2651,500.0,48000,96,18,4296,0.0001,118.11135673522949,16.230722427368164
197.52809143066406,2759,500.0,50000,100,18,4496,0.0001,124.7714319229126,15.618857383728027
