train/entropy_loss,time/iterations,time/total_timesteps,train/learning_rate,train/policy_loss,time/fps,train/n_updates,train/value_loss,time/time_elapsed,train/explained_variance,rollout/ep_rew_mean,rollout/ep_len_mean
-2.301189661026001,100,500,0.0007,-0.020678140223026276,11,99,0.00016628434241283685,42,-73.11878967285156,,
-2.3018710613250732,200,1000,0.0007,-0.0059481398202478886,15,199,6.772899359930307e-05,62,-1235.928466796875,,
-2.302032947540283,300,1500,0.0007,0.0018214847659692168,18,299,5.9703328588511795e-05,80,-201.1756134033203,,
-2.301935911178589,400,2000,0.0007,0.006905035115778446,19,399,3.4150540159316733e-05,103,-26686.658203125,,
-2.302001476287842,500,2500,0.0007,0.002068334724754095,20,499,4.959820216754451e-06,119,-87.76233673095703,,
-2.302184581756592,600,3000,0.0007,-0.0031573879532516003,20,599,9.916214366967324e-06,146,-4137.1767578125,,
-2.302140474319458,700,3500,0.0007,0.00967625342309475,20,699,1.9732933651539497e-05,169,-282.84259033203125,,
-2.302213668823242,800,4000,0.0007,-0.001203250838443637,18,799,7.797849548296654e-07,217,-3675.6875,0.0,4000.0
-2.302255868911743,900,4500,0.0007,-0.0006133710267022252,19,899,1.0220342261391124e-07,231,-265.9711608886719,0.0,4000.0
-2.3022620677948,1000,5000,0.0007,-8.686884456210464e-08,20,999,1.6972470326211326e-15,249,0.0,0.0,4000.0
-2.302248239517212,1100,5500,0.0007,-0.00041790882823988795,20,1099,5.4317002451398366e-08,266,-243.78076171875,0.0,4000.0
-2.302222728729248,1200,6000,0.0007,-1.1521697373950701e-08,21,1199,2.988990011936274e-17,283,5.960464477539063e-08,0.0,4000.0
-2.30222225189209,1300,6500,0.0007,-3.8446734151875717e-07,21,1299,3.376848632533416e-14,302,0.0,0.0,4000.0
-2.3022217750549316,1400,7000,0.0007,3.163563855324014e-11,21,1399,2.3127346916194146e-22,321,0.0,0.0,4000.0
-2.302255392074585,1500,7500,0.0007,-2.7434114144853083e-06,22,1499,1.727980931086337e-12,335,0.0,0.0,4000.0
-2.3022396564483643,1600,8000,0.0007,-8.024720955290832e-06,21,1599,1.4751103116772413e-11,380,0.0,0.0,4000.0
-2.3021187782287598,1700,8500,0.0007,-0.00042232178384438157,21,1699,2.1034729513758066e-07,392,-67786208.0,0.0,4000.0
-2.3020753860473633,1800,9000,0.0007,-6.222564843483269e-05,21,1799,9.343652518367662e-10,411,-0.13645029067993164,0.0,4000.0
-2.302079677581787,1900,9500,0.0007,0.00011095221998402849,22,1899,6.203647817670799e-09,428,-86.61717224121094,0.0,4000.0
-2.3021183013916016,2000,10000,0.0007,8.223758777603507e-05,22,1999,1.5388688101580783e-09,448,0.0,0.0,4000.0
-2.3020660877227783,2100,10500,0.0007,-0.00013176980428397655,22,2099,1.6223751231336792e-07,470,-163.1322784423828,0.0,4000.0
-2.302030563354492,2200,11000,0.0007,-0.0003325438010506332,22,2199,5.487526522074404e-08,494,-78.02995300292969,0.0,4000.0
-2.30196213722229,2300,11500,0.0007,-5.297068582876818e-06,22,2299,6.549837928970792e-12,514,0.0,0.0,4000.0
-2.301947593688965,2400,12000,0.0007,-1.0290163118042983e-05,21,2399,2.3210676436402622e-11,561,0.0,0.0,4000.0
-2.3018643856048584,2500,12500,0.0007,-9.616166062187403e-05,21,2499,2.138838661736031e-09,592,0.0,0.0,3118.75
-2.301846981048584,2600,13000,0.0007,-0.0007089496939443052,21,2599,1.1697289892254048e-07,603,-0.06756401062011719,0.0,3118.75
-2.3016371726989746,2700,13500,0.0007,-0.0018843073630705476,20,2699,8.112543810057105e-07,652,1.1920928955078125e-07,0.3333333432674408,2234.3333333333335
-2.301654815673828,2800,14000,0.0007,-0.0012081966269761324,20,2799,3.323982582514873e-07,683,0.06839287281036377,0.2857142984867096,1966.0
-2.301631450653076,2900,14500,0.0007,-2.055437107628677e-05,20,2899,9.70628230567705e-11,716,0.0,0.25,1802.25
-2.301576614379883,3000,15000,0.0007,0.0004336818237788975,19,2999,4.388826013723701e-08,752,0.0,0.2222222238779068,1645.111111111111
-2.301570415496826,3100,15500,0.0007,1.535922820039559e-05,19,3099,5.375339756641395e-11,790,0.0,0.20000000298023224,1530.7
-2.301593542098999,3200,16000,0.0007,6.879358352307463e-06,19,3199,1.0626219522358316e-11,828,0.0,0.1818181872367859,1439.4545454545455
-2.301344156265259,3300,16500,0.0007,-0.002266128081828356,19,3299,1.1923239071620628e-06,861,-1.1920928955078125e-07,0.1666666716337204,1347.0833333333333
-2.3013782501220703,3400,17000,0.0007,-0.00140137888956815,19,3399,4.389308685404103e-07,894,-1.1920928955078125e-07,0.23076923191547394,1278.4615384615386
-2.301398515701294,3500,17500,0.0007,-0.0007115380722098053,19,3499,1.1576334912888342e-07,913,0.0,0.23076923191547394,1278.4615384615386
