time/iterations,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_rew_mean,train/policy_gradient_loss,train/explained_variance,train/approx_kl,train/value_loss,train/entropy_loss,train/learning_rate,train/clip_fraction,train/loss,train/clip_range,train/n_updates
1,457.25,2048,153,13,0.25,,,,,,,,,,
2,476.0,4096,282,14,0.25,-0.04957687432906823,-3.0735650062561035,0.025676437,0.010164196906407597,-2.2943696074187754,0.0003,0.162890625,-0.1179213672876358,0.2,10
3,443.53846153846155,6144,428,14,0.23076923191547394,-0.08768908359634224,-1.6101131439208984,0.051645845,0.00610727844396024,-2.2764047093689443,0.0003,0.3779296875,-0.14491240680217743,0.2,20
4,443.53846153846155,8192,492,16,0.23076923191547394,-0.09166820289683528,-0.9207882881164551,0.06377822,0.004997592674408224,-2.2529725566506387,0.0003,0.476220703125,-0.14183172583580017,0.2,30
5,681.3333333333334,10240,598,17,0.2666666805744171,-0.11122498273907695,-16.870811462402344,0.084473036,0.002420662124859518,-2.2303484335541723,0.0003,0.5611328125,-0.1488819718360901,0.2,40
6,622.2777777777778,12288,717,17,0.2777777910232544,-0.09592785704298876,-0.5631546974182129,0.09127286,0.003906564467615681,-2.1998685888946055,0.0003,0.563916015625,-0.13800017535686493,0.2,50
7,622.2777777777778,14336,780,18,0.2777777910232544,-0.0997437512021861,-0.5327327251434326,0.1061034,0.0034953882510308175,-2.1868435971438887,0.0003,0.59521484375,-0.1451738327741623,0.2,60
8,788.8,16384,863,18,0.30000001192092896,-0.11217316151596606,-13.637093544006348,0.11635239,0.0015183528978013783,-2.168601252883673,0.0003,0.597314453125,-0.1524856984615326,0.2,70
9,757.2083333333334,18432,986,18,0.4166666567325592,-0.07707914538477781,-0.1864924430847168,0.10608248,0.004972768872175948,-2.1430922351777553,0.0003,0.5640625,-0.13287492096424103,0.2,80
10,714.3928571428571,20480,1104,18,0.4642857015132904,-0.08666188949573553,-0.21229219436645508,0.13311869,0.008037043167860247,-2.1197264201939108,0.0003,0.604150390625,-0.09150870144367218,0.2,90
11,694.21875,22528,1217,18,0.53125,-0.08735319543920923,-0.24939942359924316,0.14248918,0.010053945121762808,-2.0991005279123782,0.0003,0.610107421875,-0.11318615823984146,0.2,100
12,671.9722222222222,24576,1329,18,0.5833333134651184,-0.09151141891925363,-0.28647756576538086,0.1713644,0.009884255766155547,-2.035743289813399,0.0003,0.63330078125,-0.12803161144256592,0.2,110
