time/episodes,rollout/ep_rew_mean,time/fps,train/n_updates,rollout/ep_len_mean,train/critic_loss,train/actor_loss,time/total_timesteps,train/learning_rate,time/time_elapsed
4,0.5,19,40,1347.0,0.0003386793177924119,0.05884834285825491,5388,0.0001,275
8,0.625,17,184,854.875,0.00017818921514844988,0.04977670777589083,6839,0.0001,391
12,0.5833333134651184,16,360,718.75,0.00020417939958861098,0.030671001877635717,8625,0.0001,509
16,0.4375,16,536,648.375,0.0001885200254037045,0.027466924861073494,10374,0.0001,628
20,0.3499999940395355,16,744,620.05,0.0017958331864065258,0.029800814110785723,12401,0.0001,755
24,0.2916666567325592,16,952,603.375,0.000166957200235629,0.03382908506318927,14481,0.0001,878
28,0.25,16,1112,574.3214285714286,0.0002673482013051398,0.037224968895316124,16081,0.0001,991
32,0.21875,16,1280,555.03125,0.0020987496336601907,0.03788321139290929,17761,0.0001,1109
36,0.1944444477558136,17,1792,636.6944444444445,9.255959002985037e-05,0.04371160175651312,22921,0.0001,1317
40,0.17499999701976776,17,1976,619.525,6.605344606214203e-05,0.04407517518848181,24781,0.0001,1434
44,0.15909090638160706,17,2152,601.8409090909091,4.176051720605756e-05,0.0456127543002367,26481,0.0001,1550
48,0.1458333283662796,16,2344,591.6875,0.00015713367247371934,0.046790434047579765,28401,0.0001,1675
52,0.13461539149284363,16,2528,582.5961538461538,6.446077259170124e-05,0.05484585836529732,30295,0.0001,1793
56,0.125,16,2720,574.3035714285714,4.64757536065008e-05,0.058925481513142586,32161,0.0001,1910
60,0.11666666716337204,16,2896,565.35,3.7474719420060865e-05,0.0634739613160491,33921,0.0001,2025
64,0.109375,16,3072,557.515625,6.49861772217264e-05,0.06673631072044373,35681,0.0001,2142
68,0.10294117778539658,16,3232,549.1617647058823,5.4894308505026856e-05,0.07334081269800663,37343,0.0001,2263
72,0.0972222238779068,16,3416,543.3472222222222,0.00028791805289074546,0.06760201044380665,39121,0.0001,2379
76,0.09210526198148727,16,3600,539.7368421052631,7.125174624889041e-05,0.07631167955696583,41020,0.0001,2497
80,0.08749999850988388,16,3808,538.0125,7.828490242900443e-05,0.08297928422689438,43041,0.0001,2619
84,0.0833333358168602,16,3976,533.2142857142857,8.080823226919165e-05,0.09767863340675831,44790,0.0001,2732
88,0.07954545319080353,16,4144,527.2840909090909,9.711152324598515e-05,0.09705748781561852,46401,0.0001,2842
