time/episodes,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/fps,train/n_updates,train/actor_loss,train/learning_rate,train/critic_loss
4,2000,-3013.78271484375,500.0,129,15,,,,
8,4000,-2815.815673828125,500.0,230,17,,,,
12,6000,-2693.55224609375,500.0,339,17,96,5.546596646308899,0.0001,26.80512833595276
16,8000,-2488.8720703125,500.0,459,17,296,7.230030059814453,0.0001,21.045135378837585
20,10000,-2159.310546875,500.0,570,17,496,8.306103229522705,0.0001,32.778769731521606
24,12000,-1405.8834228515625,500.0,688,17,696,6.901098728179932,0.0001,66.09231328964233
28,14000,-930.2647705078125,500.0,798,17,896,6.678143620491028,0.0001,77.0124740600586
32,16000,-702.350830078125,500.0,912,17,1096,5.833763957023621,0.0001,81.62230491638184
36,18000,-543.780517578125,500.0,1031,17,1296,6.570404410362244,0.0001,76.95353746414185
40,20000,-467.4432678222656,500.0,1147,17,1496,5.700137734413147,0.0001,73.67113971710205
44,22000,-314.9267578125,500.0,1265,17,1696,5.473199009895325,0.0001,80.04855585098267
48,24000,-282.5964050292969,500.0,1377,17,1896,5.926918864250183,0.0001,77.3264651298523
52,26000,-49.15359115600586,500.0,1489,17,2096,5.26650333404541,0.0001,80.88776016235352
56,28000,219.05929565429688,500.0,1602,17,2296,4.43602442741394,0.0001,91.35401058197021
60,30000,274.08740234375,500.0,1714,17,2496,3.177310526371002,0.0001,92.17118835449219
64,32000,216.71694946289062,500.0,1826,17,2696,1.5303208231925964,0.0001,99.40275764465332
68,34000,431.06219482421875,500.0,1939,17,2896,0.7237164825201035,0.0001,109.30155563354492
72,36000,465.4063720703125,500.0,2052,17,3096,0.45116816461086273,0.0001,122.02974605560303
76,38000,535.9650268554688,500.0,2166,17,3296,-0.7923372834920883,0.0001,119.69481563568115
80,40000,664.0032958984375,500.0,2277,17,3496,-2.7735584378242493,0.0001,135.06891441345215
84,42000,677.45458984375,500.0,2388,17,3696,-4.363006919622421,0.0001,136.50938987731934
88,44000,654.3989868164062,500.0,2502,17,3896,-3.624346137046814,0.0001,165.84631538391113
92,46000,630.0323486328125,500.0,2614,17,4096,-4.5654860734939575,0.0001,151.76796054840088
96,48000,657.8883666992188,500.0,2724,17,4296,-5.2176395654678345,0.0001,189.72328567504883
100,50000,715.6101684570312,500.0,2835,17,4496,-7.710622549057007,0.0001,190.81828117370605
